civ_name,role,name,hp,dps,range,total_res,dps_per_100res,hp_per_100res,walk,dmg_crush,bonuses
Achaemenids,champion_elephant,Indian War Elephant,1100,55,5,550,10,200,9,49.5,
Achaemenids,champion_infantry,Cardaces Skirmisher,120,23.467,30,60,39.112,200,10.45,0,
Achaemenids,champion_infantry,Cardaces Hoplite,200,20.35,4,60,33.917,333.333,9.5,0,BonusCavMelee:2.5x vs Cavalry
Achaemenids,champion_cavalry,Bactrian Heavy Lancer,260,17.6,7,340,5.176,76.471,14.4,0,BonusCavMelee:1.75x vs Cavalry
Achaemenids,champion_infantry,Persian Apple Bearer,120,15.725,4,130,12.096,92.308,9.5,0,BonusCavMelee:2.5x vs Cavalry
Achaemenids,champion_infantry,Persian Immortal,120,15.725,4,130,12.096,92.308,9.5,0,BonusCavMelee:2.5x vs Cavalry
Achaemenids,champion_cavalry,Bactrian Heavy Cavalry Archer,240,12,60,330,3.636,72.727,15.3,0,
Achaemenids,champion_cavalry,Babylonian Scythed Chariot,300,12,60,400,3,75,17,0,
Achaemenids,champion_infantry,Persian Immortal,120,9.792,60,130,7.532,92.308,9.064,0,
Athenians,champion_infantry,Athenian Marine,200,21.333,3,160,13.333,125,11.4,0,
Athenians,champion_infantry,Athenian Marine,200,21.333,3,160,13.333,125,11.4,0,
Athenians,champion_infantry,City Guard,200,18.5,4,220,8.409,90.909,9.5,0,BonusCavMelee:2.5x vs Cavalry
Athenians,champion_infantry,Scythian Archer,120,11.52,60,220,5.236,54.545,10.3,0,
Britons,champion_cavalry,Celtic Chariot,300,24,30,400,6,75,18,0,
Britons,champion_infantry,Brythonic Champion,200,21.333,3,220,9.697,90.909,9.5,0,
Carthaginians,champion_elephant,North African War Elephant,900,45,5,450,10,200,9,40.5,
Carthaginians,champion_infantry,Sacred Band Infantry,200,18.5,4,220,8.409,90.909,9.5,0,BonusCavMelee:2.5x vs Cavalry
Carthaginians,champion_cavalry,Sacred Band Cavalry,260,17.6,4,330,5.333,78.788,18,0,BonusCavMelee:1.75x vs Cavalry
Carthaginians,champion_infantry,Sacred Band Pikeman,200,11.5,8,220,5.227,90.909,8.55,0,BonusCavMelee:2.5x vs Cavalry
Gauls,champion_infantry,Champion Swordsman,200,21.333,3,220,9.697,90.909,9.5,0,
Gauls,champion_infantry,Naked Fanatic,200,18.5,4,220,8.409,90.909,13.3,0,BonusCavMelee:2.5x vs Cavalry
