civ,civ_name,name,template,hp,train_s,fruit,grain,meat,wood,stone,metal
achae,Achaemenids,Mesopotamian Woman,units/achae/support_female_citizen,25,8,1,0.5,1,0.7,0.35,0.35
achae,Achaemenids,Mesopotamian Woman,units/achae/support_female_citizen_house,25,30,1,0.5,1,0.7,0.35,0.35
achae,Achaemenids,Persian Laborer,units/achae/support_civilian,25,8,1,0.5,1,0.7,0.35,0.35
achae,Achaemenids,Persian Laborer,units/achae/support_civilian_house,25,30,1,0.5,1,0.7,0.35,0.35
achae,Achaemenids,Shield Bearer,units/achae/infantry_spearman_b,100,10,0.5,0.25,1,0.75,0.5,0.5
athen,Athenians,Athenian Artisan,units/athen/support_civilian,25,8,1,0.5,1,0.7,0.35,0.35
athen,Athenians,Athenian Artisan,units/athen/support_civilian_house,25,30,1,0.5,1,0.7,0.35,0.35
athen,Athenians,Athenian Hoplite,units/athen/infantry_spearman_b,100,10,0.5,0.25,1,0.75,0.5,0.5
athen,Athenians,Athenian Woman,units/athen/support_female_citizen,25,8,1,0.5,1,0.7,0.35,0.35
athen,Athenians,Athenian Woman,units/athen/support_female_citizen_house,25,30,1,0.5,1,0.7,0.35,0.35
athen,Athenians,Slave,units/athen/support_slave,100,15,0.5,0.35,1,1,1,1
brit,Britons,Briton Countryman,units/brit/support_civilian,25,8,1,0.5,1,0.7,0.35,0.35
brit,Britons,Briton Countryman,units/brit/support_civilian_house,25,30,1,0.5,1,0.7,0.35,0.35
brit,Britons,Celtic Spearman,units/brit/infantry_spearman_b,100,10,0.5,0.25,1,0.75,0.5,0.5
brit,Britons,Celtic Woman,units/brit/support_female_citizen,25,8,1,0.5,1,0.7,0.35,0.35
brit,Britons,Celtic Woman,units/brit/support_female_citizen_house,25,35,1,0.5,1,0.7,0.35,0.35
cart,Carthaginians,Carthaginian Artisan,units/cart/support_civilian,25,8,1,0.5,1,0.7,0.35,0.35
cart,Carthaginians,Carthaginian Artisan,units/cart/support_civilian_house,25,30,1,0.5,1,0.7,0.35,0.35
cart,Carthaginians,Carthaginian Woman,units/cart/support_female_citizen,25,8,1,0.5,1,0.7,0.35,0.35
cart,Carthaginians,Carthaginian Woman,units/cart/support_female_citizen_house,25,30,1,0.5,1,0.7,0.35,0.35
